1/1,2,10,user78,act1,ask the grip,0.33
1/1,4,5,user30,act2,arrive the moat,0.95
1/1,5,14,user18,act3,fence the judge,0.37
1/1,5,14,user38,act4,save the ear,0.78
1/1,12,18,user25,act5,expand the cockroach,0.58
2/1,0,6,user82,act6,punish the radar,0.46
2/1,1,2,user34,act7,subtract the distribution,0.21
2/1,5,9,user15,act8,obtain the quiver,0.34
2/1,9,13,user66,act9,employ the invoice,0.83
3/1,1,6,user27,act10,fear the refund,0.31
3/1,5,8,user79,act11,place the authorisation,0.8
3/1,5,14,user59,act12,dust the wire,0.9
3/1,6,16,user17,act13,wrap the brother,0.09
3/1,7,12,user30,act14,load the distributor,0.49
3/1,8,10,user35,act15,dam the skill,0.89
3/1,11,21,user11,act16,learn the bottom,0.31
4/1,3,13,user88,act17,carve the radiator,0.51
4/1,7,15,user35,act18,pass the transmission,0.13
4/1,9,16,user6,act19,travel the society,0.45
4/1,12,18,user71,act20,spell the kettle,0.24
5/1,3,5,user61,act21,shrug the currency,0.97
5/1,6,16,user72,act22,store the sandwich,0.15
5/1,11,12,user72,act23,save the scraper,0.44
5/1,12,15,user27,act24,escape the government,0.69
5/1,12,15,user51,act25,marry the baritone,0.93
6/1,0,8,user37,act26,mix the approval,0.92
6/1,1,5,user33,act27,deliver the clave,0.52
6/1,2,10,user93,act28,discover the pike,0.74
6/1,5,13,user5,act29,burn the stomach,0.15
6/1,8,13,user52,act30,remain the tray,0.72
7/1,0,4,user85,act31,muddle the canadian,0.61
7/1,3,12,user49,act32,pump the pendulum,0.67
7/1,4,8,user79,act33,jail the prose,0.81
7/1,4,6,user16,act34,spark the puffin,0.13
7/1,6,13,user55,act35,flow the bite,0.02
7/1,7,9,user57,act36,spell the transmission,0.16
7/1,8,18,user72,act37,kill the chef,0.58
8/1,0,5,user38,act38,shock the sagittarius,0.74
9/1,0,5,user29,act39,bump the airship,0.58
9/1,0,7,user3,act40,fetch the weasel,0.45
9/1,1,5,user84,act41,pour the stretch,0.54
9/1,1,9,user25,act42,exercise the confirmation,0.78
9/1,3,11,user0,act43,colour the dinghy,0.01
9/1,5,6,user32,act44,scratch the flesh,0.43
9/1,5,10,user68,act45,hate the error,0.04
10/1,2,6,user12,act46,gather the magician,0.5
10/1,3,8,user82,act47,train the kimberly,0.14
10/1,6,9,user33,act48,stuff the boat,0.11
10/1,7,12,user35,act49,kick the booklet,0.65
10/1,8,12,user32,act50,frighten the india,0.38
10/1,9,19,user4,act51,bounce the reward,0.83
10/1,11,21,user7,act52,attempt the tune,0.89
10/1,11,21,user70,act53,complete the flood,0.79
10/1,11,15,user25,act54,file the transport,0.41
10/1,12,21,user39,act55,pop the bacon,0.61
10/1,12,14,user26,act56,colour the rock,0.03
11/1,3,7,user16,act57,expand the distributor,0
11/1,4,8,user15,act58,appreciate the anethesiologist,0.71
11/1,5,7,user82,act59,hug the romania,0.19
11/1,6,12,user74,act60,appear the party,0.14
11/1,7,17,user97,act61,crawl the nitrogen,0.27
11/1,8,15,user37,act62,jail the beetle,0.92
11/1,9,10,user20,act63,replace the waiter,0.58
12/1,5,8,user6,act64,paddle the turkish,0.83
12/1,5,6,user22,act65,spell the expert,0.29
12/1,9,19,user60,act66,delay the dime,0.64
12/1,9,10,user40,act67,trap the shirt,0.47
12/1,10,14,user10,act68,launch the xylophone,0.94
12/1,11,17,user99,act69,blot the gate,0.52
12/1,11,19,user62,act70,invent the ukrainian,0.6
12/1,12,17,user88,act71,work the opinion,0.04
13/1,2,3,user92,act72,cure the macrame,0.38
13/1,5,10,user56,act73,preach the dinghy,0.61
13/1,8,12,user35,act74,type the story,0.91
13/1,8,13,user87,act75,sip the blue,0.42
13/1,9,18,user14,act76,suppose the women,0.51
13/1,12,16,user32,act77,compete the plain,0.14
14/1,6,8,user58,act78,tempt the archer,0.58
14/1,6,10,user22,act79,turn the promotion,0.42
14/1,9,15,user19,act80,scorch the gas,0.48
14/1,9,10,user90,act81,help the copyright,0.47
14/1,12,19,user82,act82,fit the room,0.54
14/1,12,21,user33,act83,sign the view,0.49
14/1,12,21,user46,act84,wriggle the cardboard,0.64
15/1,0,5,user40,act85,cause the suggestion,0.1
15/1,1,10,user99,act86,shiver the ostrich,0.39
15/1,2,6,user4,act87,look the teeth,0.42
15/1,4,12,user94,act88,turn the twilight,0.11
15/1,10,14,user67,act89,knit the pillow,0.97
15/1,10,17,user40,act90,appreciate the veterinarian,0.2
16/1,1,7,user42,act91,bathe the abyssinian,0.7
16/1,8,14,user4,act92,press the cauliflower,0.23
16/1,8,16,user91,act93,occur the minute,0.58
16/1,9,16,user28,act94,tow the mom,0.72
17/1,1,4,user89,act95,alert the octave,0.54
17/1,7,13,user49,act96,spill the pendulum,0.38
18/1,0,5,user37,act97,unpack the pyramid,0.39
18/1,2,8,user25,act98,include the dancer,0.36
18/1,2,3,user14,act99,mine the question,0.4
18/1,4,9,user4,act100,muddle the deadline,0.65
18/1,8,10,user94,act101,want the church,0.17
18/1,10,18,user58,act102,train the database,0.91
18/1,11,16,user73,act103,blind the singer,0.82
19/1,2,8,user93,act104,load the wilderness,0.14
19/1,5,7,user79,act105,weigh the snowboarding,0.89
20/1,0,5,user71,act106,decay the tadpole,0.42
20/1,0,1,user91,act107,cross the deborah,0.73
20/1,5,14,user39,act108,signal the teacher,0.33
21/1,2,8,user45,act109,thank the gong,0.85
21/1,4,10,user85,act110,paddle the dungeon,0.97
21/1,7,17,user48,act111,decide the commission,0.05
21/1,7,13,user33,act112,hover the imprisonment,0.03
21/1,11,13,user84,act113,whip the mom,0.36
22/1,2,6,user80,act114,wander the claus,0.27
22/1,4,8,user96,act115,glue the grip,0.84
22/1,6,11,user2,act116,tip the charles,0.73
22/1,9,14,user78,act117,harass the stepmother,0.27
22/1,10,15,user2,act118,bolt the teaching,0.98
22/1,12,14,user67,act119,sigh the pear,0.44
23/1,0,7,user22,act120,relax the psychology,0.39
